id,commit_id,file_id,author_name,commit_day,commit_hour,cumulative_change_count,cumulative_bug_count,change_log_length,changed_LOC,sloc,bug_introducing,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineCode,CountDeclClass,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceVariable,CountDeclMethodPrivate,MaxNesting,AvgLineBlank,AvgLineComment,CountDeclMethodDefault,CountDeclMethodProtected,Delta_AvgCyclomatic,Delta_AvgCyclomaticModified,Delta_AvgCyclomaticStrict,Delta_AvgEssential,Delta_AvgLine,Delta_AvgLineCode,Delta_CountDeclClass,Delta_CountDeclFunction,Delta_CountDeclInstanceMethod,Delta_CountDeclMethod,Delta_CountDeclMethodPublic,Delta_CountLine,Delta_CountLineBlank,Delta_CountLineCode,Delta_CountLineCodeDecl,Delta_CountLineCodeExe,Delta_CountLineComment,Delta_CountSemicolon,Delta_CountStmt,Delta_CountStmtDecl,Delta_CountStmtExe,Delta_MaxCyclomatic,Delta_MaxCyclomaticModified,Delta_MaxCyclomaticStrict,Delta_RatioCommentToCode,Delta_SumCyclomatic,Delta_SumCyclomaticModified,Delta_SumCyclomaticStrict,Delta_SumEssential,Delta_CountDeclClassMethod,Delta_CountDeclClassVariable,Delta_CountDeclInstanceVariable,Delta_CountDeclMethodPrivate,Delta_MaxNesting,Delta_AvgLineBlank,Delta_AvgLineComment,Delta_CountDeclMethodDefault,Delta_CountDeclMethodProtected
1,495,947,Ismael Juma, Tuesday,14,3,0,248,5,37,0,1,1,1,1,5,5,1,3,3,3,3,37,6,25,15,10,6,17,21,15,6,1,1,1,0.24,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,497,686,Jay Kreps, Tuesday,14,6,2,106,48,232,0,2,2,2,1,10,9,3,14,13,14,12,232,26,171,75,99,35,96,128,70,58,5,5,5,0.2,30,30,30,18,1,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,516,686,Jay Kreps, Tuesday,15,7,2,76,2,232,0,2,2,2,1,10,9,3,14,13,14,12,232,26,171,75,99,35,96,128,70,58,5,5,5,0.2,30,30,30,18,1,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000298023,0,0,0,0,0,0,0,0,0,0,0,0,0
4,517,686,Jay Kreps, Tuesday,15,8,3,53,2,232,0,2,2,2,1,10,9,3,14,13,14,12,232,26,171,75,99,35,96,128,70,58,5,5,5,0.2,30,30,30,18,1,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000298023,0,0,0,0,0,0,0,0,0,0,0,0,0
5,860,98,kirktrue, Friday,12,12,3,44,17,249,1,9,9,10,3,37,36,1,5,0,5,1,249,15,208,53,157,26,127,175,57,118,22,22,24,0.12,48,48,50,16,5,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,860,116,kirktrue, Friday,12,18,5,44,17,300,0,2,2,2,1,11,10,1,16,16,16,7,300,41,233,105,131,26,128,167,97,70,9,9,10,0.11,38,38,41,19,0,5,9,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,860,631,kirktrue, Friday,12,9,2,44,14,391,1,1,1,1,1,5,4,1,36,36,36,36,391,58,213,84,127,120,116,173,83,90,16,16,16,0.56,56,56,56,36,0,15,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,860,129,kirktrue, Friday,12,9,3,44,12,140,0,2,2,2,1,8,8,1,9,9,9,8,140,21,98,39,49,21,53,80,38,42,7,7,8,0.21,22,22,23,15,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,860,130,kirktrue, Friday,12,8,0,44,15,114,0,1,1,1,1,4,4,1,12,12,12,12,114,20,73,32,28,23,35,52,28,24,3,3,3,0.32,16,16,16,14,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,860,1244,kirktrue, Friday,12,1,0,44,99,99,1,1,1,1,1,5,4,1,8,8,8,6,99,25,59,30,21,15,31,46,29,17,3,3,3,0.25,11,11,11,8,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
