@relation '123d-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_id numeric
@attribute commit_hour numeric
@attribute changed_LOC numeric
@attribute CountLineCodeDecl numeric
@attribute Delta_CountLineCodeExe numeric
@attribute Delta_CountStmt numeric
@attribute Delta_CountDeclClassVariable numeric
@attribute s16 numeric
@attribute s24 numeric
@attribute s56 numeric
@attribute s61 numeric
@attribute s62 numeric
@attribute s113 numeric
@attribute s137 numeric
@attribute s487 numeric
@attribute s578 numeric
@attribute s668 numeric
@attribute s726 numeric
@attribute s863 numeric
@attribute s913 numeric
@attribute s914 numeric
@attribute s952 numeric
@attribute s1023 numeric
@attribute s1054 numeric
@attribute s1125 numeric
@attribute s1131 numeric
@attribute s1145 numeric
@attribute s1165 numeric
@attribute s1473 numeric
@attribute s1484 numeric
@attribute s1884 numeric
@attribute s2221 numeric
@attribute s2276 numeric
@attribute s2337 numeric
@attribute s2420 numeric
@attribute s2426 numeric
@attribute s2555 numeric
@attribute s2606 numeric
@attribute s2789 numeric
@attribute s3917 numeric
@attribute s4015 numeric
@attribute s4256 numeric
@attribute s4329 numeric
@attribute s4634 numeric
@attribute s5843 numeric
@attribute bug_introducing {0,1}

@data
495,14,5,15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,14,48,75,0,0,0,2,0,0,0,0,0,11,16,0,0,4,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,15,2,75,0,0,0,2,0,0,0,0,0,11,11,0,0,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,15,2,75,0,0,0,2,0,0,0,0,0,11,11,0,0,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,17,53,0,0,0,5,0,12,0,0,0,26,0,0,0,9,1,0,1,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12,17,105,0,0,0,1,0,12,0,0,0,13,1,0,0,15,16,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,14,84,0,0,0,1,0,12,0,0,0,22,0,0,0,27,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12,12,39,0,0,0,1,0,1,0,0,0,9,0,0,0,4,4,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,15,32,0,0,0,1,0,1,0,0,0,2,0,0,0,5,7,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,99,30,0,0,0,2,0,121,0,0,0,4,0,0,0,0,4,0,2,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
